id,step_id,token_id,request_id,actor_email,action,note,ip_address,created_at
0d2bfb90-d802-414a-95cb-5979167fae07,b6a643f0-b25c-4f47-ad36-9da521f3956d,86b8d7f7-de8b-42e3-bbab-c0d0da0d0b0d,4a3b5cec-1df0-4034-9de1-640dc4ecedcc,it.manager@tanisitech.onmicrosoft.com,approved,New Employee Onboard request approved by IT Manager (it.manager@tanisitech.onmicrosoft.com) for request_id 4a3b5cec-1df0-4034-9de1-640dc4ecedcc,,2026-05-12 10:21:33.623+00
16ee376c-238c-468a-8166-a08d07f6d721,30c69255-6781-49e1-96fb-11a632c42935,9c5ea4a9-223c-40d5-849a-23c63723d890,134e295a-a1d4-4b58-8cfd-2eaf3754a282,it.manager@tanisitech.onmicrosoft.com,approved,New Employee Onboard request approved by IT Manager (it.manager@tanisitech.onmicrosoft.com) for request_id 134e295a-a1d4-4b58-8cfd-2eaf3754a282,,2026-05-06 20:39:57.359+00
2b792d51-5770-4c1e-850f-ed8b32d7c606,1f6445a1-6bbf-407a-b57d-49332f8b927d,49c61d5b-f8a7-4705-8101-07f368b57406,1c9ee2a1-c3e9-4546-a210-c301dfdbebdc,hr.manager@tanisitech.onmicrosoft.com,approved,New Employee Onboard request approved by  () for request_id 1c9ee2a1-c3e9-4546-a210-c301dfdbebdc,,2026-05-10 18:02:39.091+00
5cc2710b-c58d-4d27-9f07-fc18763173a6,3b66a6ab-7f38-4bd5-a467-cb70613ba3b7,2c103d09-2604-43a1-9767-a59c756658ca,4a3b5cec-1df0-4034-9de1-640dc4ecedcc,hr.manager@tanisitech.onmicrosoft.com,approved,New Employee Onboard request approved by  () for request_id 4a3b5cec-1df0-4034-9de1-640dc4ecedcc,,2026-05-12 10:20:10.863+00
698fe611-a24b-4b38-912a-17d669ea35c2,fb64bd84-bc26-41ac-87b8-9867fbd70e2c,ab747e23-1831-4665-8013-3e9b24e28931,2e535d94-7d9d-47cb-ade8-a088c9cc2814,hr.manager@tanisitech.onmicrosoft.com,approved,New Employee Onboard request approved by  () for request_id 2e535d94-7d9d-47cb-ade8-a088c9cc2814,,2026-05-12 10:43:35.911+00
6d993c07-3c29-426e-a5ef-05f1469841cd,5be33d67-e7bc-4886-8103-e6201b9ded68,788f9348-dcaa-4fd0-aecd-17249175092a,2e535d94-7d9d-47cb-ade8-a088c9cc2814,eng.manager@tanisitech.onmicrosoft.com,approved,New Employee Onboard request approved by Hiring Manager (eng.manager@tanisitech.onmicrosoft.com) for request_id 2e535d94-7d9d-47cb-ade8-a088c9cc2814,,2026-05-12 10:44:16.503+00
7ab4a7c9-5b45-42e6-a956-64ab0c95393b,c36eadbe-f36f-48e1-bfa3-363a142fe09a,d6b0152e-2cc9-4318-93da-c5ff9890284e,1c9ee2a1-c3e9-4546-a210-c301dfdbebdc,it.manager@tanisitech.onmicrosoft.com,approved,New Employee Onboard request approved by IT Manager (it.manager@tanisitech.onmicrosoft.com) for request_id 1c9ee2a1-c3e9-4546-a210-c301dfdbebdc,,2026-05-10 18:05:42.435+00
9523032b-4daf-443f-b4b0-d898873ca4da,86628426-f387-4ebe-9e3e-417f33ff680c,acc59ffb-3151-4b5a-96d2-1d3a0276e998,134e295a-a1d4-4b58-8cfd-2eaf3754a282,hr.manager@tanisitech.onmicrosoft.com,approved,New Employee Onboard request approved by Priya Sharma (hr.manager@tanisitech.onmicrosoft.com) for request_id 134e295a-a1d4-4b58-8cfd-2eaf3754a282,,2026-05-05 20:29:19.835+00
d2d36f3c-55c9-4218-9011-f37ba610a3f3,54da8eec-4962-4bd3-8fee-68a51f2d74e5,66e1a6a8-e892-4a65-bc38-676fb54c27c9,4a3b5cec-1df0-4034-9de1-640dc4ecedcc,eng.manager@tanisitech.onmicrosoft.com,approved,New Employee Onboard request approved by Hiring Manager (eng.manager@tanisitech.onmicrosoft.com) for request_id 4a3b5cec-1df0-4034-9de1-640dc4ecedcc,,2026-05-12 10:22:28.84+00
f2bea5dd-fcce-4f07-be26-c7618c10e48f,ba6f1a18-3ac3-46b2-be67-6c5b6b9b27db,bb0b42f3-e258-4be5-94ee-3cffaf32de6f,2e535d94-7d9d-47cb-ade8-a088c9cc2814,it.manager@tanisitech.onmicrosoft.com,approved,New Employee Onboard request approved by IT Manager (it.manager@tanisitech.onmicrosoft.com) for request_id 2e535d94-7d9d-47cb-ade8-a088c9cc2814,,2026-05-12 10:45:00.465+00
